epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.78562,1.19419,5.18084,1.25921,0.01745,0.09524,0.01733,0.01501,0.78197,4.55606,0.92061,4.444e-05,4.444e-05,4.444e-05
2,10.2917,0.81283,4.3954,1.05004,0.60614,0.55449,0.49842,0.41331,0.7531,2.59998,0.8915,9.83402e-05,9.83402e-05,9.83402e-05
3,13.6082,0.91561,3.02321,1.10814,0.53719,0.79795,0.53189,0.39875,0.77693,2.04834,0.89081,0.000150407,0.000150407,0.000150407
4,17.1583,0.86619,2.06385,1.05262,0.8293,0.74673,0.87758,0.70205,0.69681,1.76853,0.85499,0.000200641,0.000200641,0.000200641
5,21.0052,0.84232,1.85551,1.0391,0.83447,0.96888,0.9365,0.78009,0.68584,1.47803,0.85365,0.000249042,0.000249042,0.000249042
6,23.2301,0.91136,1.46923,1.02607,0.81675,0.9732,0.9515,0.79,0.64989,1.09797,0.84992,0.000295609,0.000295609,0.000295609
7,25.8458,0.92894,1.35678,1.04073,0.97724,0.99783,0.995,0.82889,0.6921,0.61479,0.84059,0.000340344,0.000340344,0.000340344
8,28.1935,0.94015,1.2582,1.01976,0.78563,0.98677,0.9915,0.80358,0.75997,0.69916,0.85563,0.000383245,0.000383245,0.000383245
9,30.5252,0.94364,1.18366,1.05794,0.85779,0.9439,0.9915,0.76956,0.79324,0.8828,0.90498,0.000424313,0.000424313,0.000424313
10,34.0235,0.88287,1.03295,0.99012,0.95891,0.98422,0.995,0.81078,0.70965,0.60929,0.86395,0.000463548,0.000463548,0.000463548
11,36.7451,0.86905,0.95463,1.00201,0.95361,0.9671,0.995,0.80435,0.68345,0.63931,0.8709,0.00050095,0.00050095,0.00050095
12,38.8898,0.83061,0.9668,0.98419,0.90954,0.96909,0.9785,0.75937,0.77147,0.91865,0.89407,0.000536519,0.000536519,0.000536519
13,41.361,0.81091,0.86462,0.98344,0.89278,0.94127,0.9785,0.7935,0.78353,0.7967,0.87959,0.000570254,0.000570254,0.000570254
14,43.602,0.89573,0.79473,0.98757,0.90745,0.968,0.962,0.78566,0.74279,0.62919,0.87954,0.000602156,0.000602156,0.000602156
15,46.6467,0.80295,0.85397,0.98468,0.94442,0.99228,0.995,0.82474,0.75296,0.52242,0.87733,0.000632226,0.000632226,0.000632226
16,49.6686,0.82683,0.93094,1.01159,0.97666,0.97477,0.995,0.78842,0.7695,0.50794,0.871,0.000660462,0.000660462,0.000660462
17,51.9332,0.8495,0.85033,0.97512,0.89378,0.96763,0.995,0.77696,0.75239,0.60806,0.86876,0.000686865,0.000686865,0.000686865
18,54.3935,0.80331,0.93592,0.9745,0.86614,0.95102,0.96275,0.74553,0.74838,0.81597,0.87945,0.000711434,0.000711434,0.000711434
19,56.5994,0.78223,0.80292,0.96613,0.87496,0.97256,0.995,0.79867,0.71856,0.64653,0.88175,0.000734171,0.000734171,0.000734171
20,59.0023,0.98749,0.80015,1.1568,0.9522,0.99929,0.995,0.80955,0.71985,0.41063,0.8536,0.000755074,0.000755074,0.000755074
21,62.4581,0.76304,0.67599,0.92369,0.88148,1,0.995,0.78131,0.69862,0.43275,0.85331,0.00074437,0.00074437,0.00074437
22,65.1147,0.75461,0.75273,0.94859,0.82359,1,0.995,0.7943,0.71238,0.51366,0.8615,0.000726038,0.000726038,0.000726038
